奇幻,13504.44054112556
军事,11122.958947368423
科幻,10949.477590822198
贺岁,9690.740000000002
动作,9452.313370689675
战争,5894.4558117647075
真人秀,5733.12
喜剧,5558.612332296755
灾难,5405.625686274509
警匪,5273.799393939393
动画,4749.629852070997
综艺大电影,4470.32
公路,4145.988888888891
怀旧,3866.5885714285714
冒险,3240.973345656195
运动,3103.530736842106
爱情,3013.9499726562453
校园,2758.4900000000002
心理,2738.9300000000003
犯罪,2610.815885509837
亲情,2125.8396666666654
玄幻,2081.6200000000003
青春,2063.302959183673
主旋律,2001.8245161290322
反腐,1907.1800000000003
武侠,1815.5043749999995
古装,1794.4411764705887
剧情,1787.663707773708
惊悚,1513.5627033307512
动物,1490.8680000000002
歌舞,1343.9465853658537
悬疑,1240.3023822714672
西部,1239.7575000000002
侦探,1202.33
友情,1197.6985714285713
功夫,1130.9125000000001
传记,1123.0647727272744
文艺,1096.4811111111112
职场,991.7810000000003
革命,939.0
纪录片,909.9493548387095
时尚,816.19
都市,808.5888888888888
科教片,806.85
黑帮,773.57
励志,635.9404166666668
神秘,493.1933333333333
枪战,411.29750000000007
农村,373.50500000000005
同性,343.30750000000006
音乐,333.9862921348313
穿越,325.10999999999996
恐怖,315.02203761755464
抢险,287.66999999999996
儿童,257.23113402061864
艺术片,198.9076923076923
黑色幽默,177.375
神话,150.08999999999997
竞技,129.09
灵异,124.47666666666665
军旅,88.0
女性,46.40249999999999
舞台艺术片,27.345384615384607
民族,25.23333333333333
黑色,16.6
戏曲,2.666
,0.3
